Chagatai	chg		\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF\p{IsLatin}	rtl
Chamorro	cha	ch		
Chavacano	cbk			
Chechen	che	ce	\p{IsCyrillic}	
Cherokee	chr		\p{IsCherokee}	
Chinese Pidgin English	cpi			
Chinook Jargon	chn			
Chinyanja	nya	ny		
Choctaw	cho		\u0301\u0304\u030C\u0328\u0331ⁿ∅'a-cefhik-ps-uwyʋáąíīįóōǫłčšA-CEFHIK-PS-UWYƲÁĄÍĪĮÓŌǪŁČŠ	
Chukchi	ckt		\p{IsCyrillic}	
Chuvash	chv	cv	\p{IsCyrillic}	
Coastal Kadazan	kzj			
Cornish	cor	kw		
Corsican	cos	co		
Crimean Tatar	crh			
Croatian	hrv	hr		
Cuyonon	cyo			
CycL	cycl			
Czech	ces	cs		
Danish	dan	da		
Dhivehi	div	dv	\p{IsThaana}	rtl
Drents	drt			
Dungan	dng	zh		
Dutch	nld	nl		
Dutton World Speedwords	dws		\-&a-zA-Z	
Egyptian Arabic	arz	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Emilian	egl			
English	eng	en		
Erromintxela	emx			
Erzya	myv		\p{IsCyrillic}	
Esperanto	epo	eo		
Estonian	est	et		
Evenki	evn		\p{IsCyrillic}	
Ewe	ewe	ee	\p{IsLatin}	
Extremaduran	ext			
Faroese	fao	fo		
Fiji Hindi	hif		\p{IsDevanagari}\p{isKaithi}\p{IsLatin}	
Fijian	fij	fj		
Finnish	fin	fi		
French	fra	fr		
Frisian	fry	fy		
Friulian	fur			
Ga	gaa		\p{isLatin}	
Gagauz	gag			
Galician	glg	gl		
Gan Chinese	gan	zh	\u4E00-\u9FFF\uF900-\uFAFF\u3100-\u312F	
Garhwali	gbm		\p{IsDevanagari}	
Georgian	kat	ka	\p{IsGeorgian}	
German	deu	de		
Gheg Albanian	aln	sq		
Gilbertese	gil			
Gothic	got		\uD800\uDF30-\uD800\uDF40\uD800\uDF42-\uD800\uDF49	
Greek	ell	el	\p{IsGreek}	
Greenlandic	kal	kl		
Gronings	gos			
Guadeloupean Creole French	gcf			
Guarani	grn	gn		
Guerrero Nahuatl	ngu			
Gujarati	guj	gu	\p{IsGujarati}	
Gulf Arabic	afb	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Haitian Creole	hat	ht		
Hakka Chinese	hak	zh	\u4E00-\u9FFF\uF900-\uFAFF\u3100-\u312F	
Hausa	hau	ha	\p{IsLatin}	
Hawaiian	haw		\u02BB\p{IsLatin}	
Hebrew	heb	iw	'\u0590-\u05FF\uFB1D-\uFB28\uFB2A-\uFB4F	rtl
Hiligaynon	hil			
Hill Mari	mrj		\-\p{IsCyrillic}	
Hindi	hin	hi	\p{IsDevanagari}	
Hmong Daw (White)	mww			
Hmong Njua (Green)	hnj			
Ho	hoc			
Hungarian	hun	hu		
Hunsrik	hrx			
Iban	iba			
Icelandic	isl	is		
Ido	ido	io		
Igbo	ibo	ig		
Ilocano	ilo			
Indonesian	ind	id		
Ingrian	izh			
Interlingua	ina	ia		
Interlingue	ile	ie		
Inuktitut	ike	iu		
Iraqi Arabic	acm	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Irish	gle	ga		
Isan	tts		\p{IsThai}	
Italian	ita	it		
Jamaican Patois	jam			
Japanese	jpn	ja	\u4E00-\u9FFF\uF900-\uFAFF\u3040-\u30FF\u31F0-\u31FF	
Javanese	jav	jv	\uA980-\uA9C0\p{IsLatin}	
Jewish Babylonian Aramaic	tmr	iw	\u0590-\u05FF\uFB1D-\uFB28\uFB2A-\uFB4F	rtl
Jewish Palestinian Aramaic	jpa	iw	\u0590-\u05FF\uFB1D-\uFB28\uFB2A-\uFB4F	rtl
Jin Chinese	cjy	zh	\u4E00-\u9FFF\uF900-\uFAFF\u3100-\u312F	
Juhuri (Judeo-Tat)	jdt		\p{IsCyrillic}	
K'iche'	quc			
Kabyle	kab		\-\p{IsLatin}	
Kalmyk	xal		\-\p{IsCyrillic}	
Kamba	kam			
Kannada	kan	kn	\u0C80-\u0C83\u0C85-\u0CE3\u0CF1\u0CF2	
Kapampangan	pam			
Karachay-Balkar	krc	tr	\-\p{IsCyrillic}	
Karakalpak	kaa	tr	'\p{IsLatin}\p{IsCyrillic}	
Karakhanid	xqa	tr	\p{IsLatin}\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Karelian	krl			
Kashmiri	kas	ks	\p{IsLatin}\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Kashubian	csb			
Kazakh	kaz	kk	\-\p{IsCyrillic}	
Kekchi (Q'eqchi')	kek			
Keningau Murut	kxi			
Khakas	kjh		\-\p{IsCyrillic}	
Khasi	kha			
Khmer	khm	km	\-\p{IsLatin}\u1780-\u17D3\u17D7-\u17DD	
Kinyarwanda	kin	rw		
Kirundi	run	rn		
Klingon	tlh			
Kölsch	ksh		\p{isLatin}	
Komi-Permyak	koi	kv	\-\p{IsCyrillic}	
Komi-Zyrian	kpv	kv	\p{IsCyrillic}	
Konkani (Goan)	gom		\p{IsDevanagari}	
Korean	kor	ko	\u4E00-\u9FFF\uF900-\uFAFF\u1100-\u11FF\u3130-\u318F\uAC00-\uD7A0	
Kotava	avk			
Kumyk	kum		\-\p{IsCyrillic}	
Kurdish	kur	ku		
Kven Finnish	fkv	fi		
Kyrgyz	kir	ky	\p{IsCyrillic}	
Láadan	ldn			
Ladin	lld			
Ladino	lad		\-'\u0590-\u05FF\uFB1D-\uFB28\uFB2A-\uFB4F\p{IsLatin}	rtl
Lakota	lkt			
Lao	lao	lo	\u0E81-\u0ECD\u0EDC-\u0EDF	
Latgalian	ltg	lv		
Latin	lat	la		
Latvian	lvs	lv		
Laz	lzz		\p{IsGeorgian}	
Ligurian	lij			
Lingala	lin	ln		
Lingua Franca Nova	lfn		\p{IsLatin}\p{IsCyrillic}	
Literary Chinese	lzh	zh	\u4E00-\u9FFF\uF900-\uFAFF	
Lithuanian	lit	lt		
Livonian	liv			
Lojban	jbo		,'a-gA-Gi-pI-Pr-vR-Vx-zX-Z	
Lombard	lmo			
Louisiana Creole	lou			
Low German (Low Saxon)	nds			
Lower Sorbian	dsb			
Luganda	lug	lg		
Luxembourgish	ltz	lb		
Macedonian	mkd	mk		
Madurese	mad			
Maithili	mai			
Malagasy	mlg	mg		
Malay	zsm	ms		
Malay (Vernacular)	zlm	ms		
Malayalam	mal	ml		
Maltese	mlt	mt		
Mambae	mgm			
Manchu	mnc			
Mandarin Chinese	cmn	zh	\u4E00-\u9FFF\uF900-\uFAFF	
Manx	glv	gv		
Maori	mri	mi		
Marathi	mar	mr		
Marshallese	mah	mh		
Meadow Mari	mhr			
Mi'kmaq	mic			
Middle English	enm			
Middle French	frm			
Min Nan Chinese	nan	zh	\u4E00-\u9FFF\uF900-\uFAFF\u3100-\u312F	
Minangkabau	min	ms		
Mingrelian	xmf			
Mirandese	mwl			
Mohawk	moh			
Moksha	mdf			
Mon	mnw			
Mongolian	mon	mn		
Morisyen	mfe			
Moroccan Arabic	ary	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
Naga (Tangshang)	nst			
Nahuatl	nah			
Nauruan	nau	na		
Navajo	nav	nv		
Nepali	npi	ne		
Newari	new			
Ngeq	ngt			
Nigerian Fulfulde	fuv	ff		
Niuean	niu			
Nogai	nog			
North Frisian	frr			
North Levantine Arabic	apc	ar	\u0610-\u061A\u0620-\u065F\u066E-\u06D3\u06D5-\u06DC\u06DF-\u06E8\u06EA-\u06EF\u06FA-\u06FC\u06FF\u0750-\u077F\uFB50-\uFDFF\uFE70-\uFEFF	rtl
North Moluccan Malay	max			
Northern Sami	sme	se		
Norwegian Bokmål	nob	nb		
Norwegian Nynorsk	nno	nn		
Novial	nov			
Nyungar	nys			
Occitan	oci	oc		
Odia (Oriya)	ori	or		
Ojibwe	oji	oj		
Okinawan	ryu			
Old Aramaic	oar			rtl
Old East Slavic	orv			
Old English	ang			
Old French	fro			
Old Norse	non			
Old Prussian	prg			
Old Saxon	osx			
Old Spanish	osp			
Old Tupi	tpw			
Old Turkish	otk			
Orizaba Nahuatl	nlv			
Ossetian	oss	os		
Ottoman Turkish	ota			
Palatine German	pfl			
Palauan	pau			
Pangasinan	pag			
Papiamento	pap			
Pashto	pus	ps		
Pennsylvania German	pdc			
Persian	pes			
Phoenician	phn			
Picard	pcd			
Piedmontese	pms			
Pipil	ppl			
Polish	pol	pl		
Portuguese	por	pt		
Pulaar	fuc	ff		
Punjabi (Eastern)	pan	pa		
Punjabi (Western)	pnb			
Quechua	que	qu		
Quenya	qya			
Rapa Nui	rap			
Romani	rom			
Romanian	ron	ro		
Romansh	roh	rm		
Russian	rus	ru		
Rusyn	rue			
Samoan	smo	sm		
Samogitian	sgs			
Sango	sag	sg		
Sanskrit	san	sa		
Sardinian	srd	sc		
Saterland Frisian	stq			
Scots	sco			
Scottish Gaelic	gla	gd		
Serbian	srp	sr		
Setswana	tsn	tn		
Seychellois Creole	crs			
Shanghainese	wuu	zh	\u4E00-\u9FFF\uF900-\uFAFF\u3100-\u312F	
Shona	sna	sn		
Shuswap	shs			
Sicilian	scn			
Sindarin	sjn			
Sindhi	snd	sd		
Sinhala	sin	si		
Slovak	slk	sk		
Slovenian	slv	sl		
Somali	som	so		
Southern Altai	alt			
Southern Sami	sma			
Southern Sotho	sot	st		
Spanish	spa	es		
Sumerian	sux			
Sundanese	sun	su		
Swabian	swg			
Swahili	swh	sw		
Swazi	ssw	ss		
Swedish	swe	sv		
Swiss German	gsw			
Syriac	syc			
Tachawit	shy			
Tagal Murut	mvv			
Tagalog	tgl	tl		
Tahaggart Tamahaq	thv			
Tahitian	tah	ty		
Tajik	tgk	tg		
Talossan	tzl			
Talysh	tly			
Tamil	tam	ta		
Tarifit	rif			
Tatar	tat	tt		
Telugu	tel	te		
Temuan	tmw	ms		
Tetun	tet			
Thai	tha	th	\p{IsThai}	
Tibetan	bod	bo		
Tigre	tig			
Tigrinya	tir	ti		
Tok Pisin	tpi			
Tokelauan	tkl			
Toki Pona	toki		aAeEi-pI-Ps-uS-UwW	
Tonga (Zambezi)	toi			
Tongan	ton	to		
Tsonga	tso	ts		
Turkish	tur	tr		
Turkmen	tuk	tk		
Tuvaluan	tvl			
Tuvinian	tyv			
Uab Meto	aoz			
Udmurt	udm			
Ukrainian	ukr	uk		
Umbundu	umb			
Upper Sorbian	hsb			
Urdu	urd	ur		
Urhobo	urh			
Uyghur	uig	ug		
Uzbek	uzb	uz		
Venetian	vec			
Veps	vep			
Vietnamese	vie	vi		
Volapük	vol	vo		
Võro	vro	et		
Walloon	wln	wa		
Waray	war			
Welsh	cym	cy		
Wolof	wol	wo		
Xhosa	xho	xh		
Xiang Chinese	hsn	zh	\u4E00-\u9FFF\uF900-\uFAFF\u3100-\u312F	
Yakut	sah			
Yiddish	yid	yi		
Yoruba	yor	yo		
Zaza	zza			
Zulu	zul	zu		
